,product_category_name_english,total_revenue,customer_city
0,health_beauty,189361.87000000008,sao paulo
1,bed_bath_table,170705.4099999993,sao paulo
2,watches_gifts,165897.45999999985,sao paulo
3,computers_accessories,144635.67999999993,sao paulo
4,sports_leisure,144533.25999999998,sao paulo
5,housewares,104820.45000000019,sao paulo
6,furniture_decor,100033.0500000004,sao paulo
7,watches_gifts,93028.74000000008,rio de janeiro
8,health_beauty,86558.3400000001,rio de janeiro
9,bed_bath_table,77871.2900000003,rio de janeiro
10,sports_leisure,70762.58000000013,rio de janeiro
11,toys,69635.89000000017,sao paulo
12,cool_stuff,67860.87000000011,sao paulo
13,computers_accessories,64796.80000000012,rio de janeiro
14,perfumery,62195.090000000135,sao paulo
15,auto,58354.08000000015,sao paulo
16,furniture_decor,55315.12000000016,rio de janeiro
17,baby,52607.74000000008,sao paulo
18,garden_tools,44645.94000000012,sao paulo
19,toys,44183.64000000009,rio de janeiro
20,cool_stuff,44010.99000000006,rio de janeiro
21,housewares,43797.07000000004,rio de janeiro
22,office_furniture,42637.05000000005,sao paulo
23,telephony,38303.64000000014,sao paulo
24,garden_tools,35255.26000000007,rio de janeiro
25,health_beauty,33973.900000000016,belo horizonte
26,watches_gifts,32730.370000000003,brasilia
27,stationery,32058.350000000006,sao paulo
28,bed_bath_table,31974.78000000002,belo horizonte
29,office_furniture,30694.18999999998,rio de janeiro
30,health_beauty,29862.81999999997,brasilia
31,pet_shop,28940.059999999976,sao paulo
32,,28796.260000000075,sao paulo
33,auto,28162.129999999986,rio de janeiro
34,perfumery,28002.850000000006,rio de janeiro
35,small_appliances,25557.219999999994,sao paulo
36,watches_gifts,25148.00999999999,belo horizonte
37,computers_accessories,25130.37999999999,belo horizonte
38,consoles_games,25042.639999999985,sao paulo
39,computers_accessories,25029.32999999999,brasilia
40,construction_tools_construction,24713.78000000002,sao paulo
41,baby,24223.569999999978,rio de janeiro
42,musical_instruments,24176.240000000013,sao paulo
43,sports_leisure,23333.329999999984,belo horizonte
44,fashion_bags_accessories,23263.519999999968,sao paulo
45,home_appliances_2,23049.020000000004,rio de janeiro
46,health_beauty,22987.65999999999,curitiba
47,sports_leisure,22757.379999999972,brasilia
48,housewares,22603.499999999993,belo horizonte
49,luggage_accessories,21197.909999999978,sao paulo
50,health_beauty,20831.529999999984,campinas
51,computers,20769.579999999998,sao paulo
52,health_beauty,20594.769999999982,salvador
