,loyalty_segment,payment_segment,avg_order_value
0,repeat customer,pay-in-full,381.63
1,repeat customer,pay-in-full,364.53
2,repeat customer,pay-in-full,302.92
3,one-time customer,installments,291.82
4,one-time customer,installments,280.91
5,one-time customer,installments,280.54
6,one-time customer,installments,272.12
7,one-time customer,installments,269.69
8,repeat customer,pay-in-full,263.19
9,one-time customer,installments,262.95
10,one-time customer,installments,262.64
11,one-time customer,installments,261.65
12,one-time customer,installments,260.9
13,one-time customer,installments,260.25
14,one-time customer,installments,256.03
15,repeat customer,installments,254.29
16,repeat customer,pay-in-full,248.78
17,one-time customer,installments,247.13
18,one-time customer,installments,241.0
19,one-time customer,installments,237.88
20,repeat customer,pay-in-full,237.07
21,one-time customer,installments,236.64
22,one-time customer,installments,230.69
23,one-time customer,installments,228.65
24,one-time customer,installments,220.37
25,repeat customer,installments,215.91
26,one-time customer,installments,214.82
27,repeat customer,pay-in-full,213.37
28,one-time customer,installments,213.16
29,repeat customer,pay-in-full,212.72
30,one-time customer,installments,211.36
31,repeat customer,installments,211.32
32,repeat customer,installments,210.96
33,one-time customer,pay-in-full,208.2
34,repeat customer,installments,208.16
35,one-time customer,pay-in-full,206.86
36,one-time customer,installments,203.45
37,repeat customer,pay-in-full,198.52
38,one-time customer,installments,198.5
39,one-time customer,installments,195.97
40,one-time customer,installments,193.33
41,repeat customer,installments,190.0
42,one-time customer,pay-in-full,189.38
43,repeat customer,installments,186.87
44,repeat customer,installments,186.13
45,repeat customer,installments,185.78
46,one-time customer,installments,182.98
47,one-time customer,installments,182.05
48,repeat customer,installments,181.32
49,repeat customer,installments,176.7
50,repeat customer,installments,172.38
51,one-time customer,pay-in-full,167.73
52,repeat customer,installments,166.21
53,one-time customer,pay-in-full,165.77
54,repeat customer,installments,164.39
55,repeat customer,installments,163.02
56,repeat customer,installments,162.87
57,one-time customer,pay-in-full,159.17
58,repeat customer,installments,159.16
59,repeat customer,installments,157.61
60,one-time customer,pay-in-full,156.82
61,repeat customer,pay-in-full,156.51
62,repeat customer,pay-in-full,155.62
63,one-time customer,pay-in-full,152.26
64,repeat customer,installments,151.84
65,repeat customer,pay-in-full,150.24
66,repeat customer,installments,149.85
67,one-time customer,pay-in-full,148.36
68,repeat customer,installments,147.79
69,one-time customer,pay-in-full,147.12
70,repeat customer,installments,146.01
71,repeat customer,installments,144.82
72,repeat customer,pay-in-full,143.55
73,one-time customer,pay-in-full,142.25
74,one-time customer,pay-in-full,136.77
75,one-time customer,pay-in-full,135.05
76,repeat customer,pay-in-full,132.2
77,one-time customer,pay-in-full,132.04
78,repeat customer,installments,129.63
79,one-time customer,pay-in-full,126.75
80,repeat customer,pay-in-full,125.82
81,one-time customer,pay-in-full,125.29
82,one-time customer,pay-in-full,123.99
83,one-time customer,pay-in-full,123.25
84,one-time customer,pay-in-full,121.96
85,repeat customer,pay-in-full,117.94
86,one-time customer,pay-in-full,117.06
87,one-time customer,pay-in-full,116.57
88,one-time customer,pay-in-full,115.83
89,one-time customer,pay-in-full,114.99
90,one-time customer,pay-in-full,113.64
91,repeat customer,pay-in-full,113.05
92,repeat customer,pay-in-full,112.67
93,one-time customer,pay-in-full,110.76
94,repeat customer,pay-in-full,110.15
95,repeat customer,pay-in-full,109.27
96,one-time customer,pay-in-full,107.73
97,repeat customer,pay-in-full,107.34
98,repeat customer,pay-in-full,105.05
99,one-time customer,pay-in-full,101.65
100,repeat customer,pay-in-full,99.04
101,repeat customer,pay-in-full,97.4
102,repeat customer,pay-in-full,92.55
103,repeat customer,pay-in-full,88.81
104,repeat customer,installments,85.18
105,repeat customer,pay-in-full,80.67
