,product_category_name_english,customer_state,avg_freight_cost,total_late_deliveries,combined_label
0,health_beauty,SP,13.64,320.0,SP - health_beauty
1,bed_bath_table,RJ,19.56,257.0,RJ - bed_bath_table
2,bed_bath_table,SP,14.9,244.0,SP - bed_bath_table
3,furniture_decor,SP,16.17,208.0,SP - furniture_decor
4,sports_leisure,SP,14.92,198.0,SP - sports_leisure
5,housewares,SP,16.83,180.0,SP - housewares
6,computers_accessories,SP,14.55,166.0,SP - computers_accessories
7,furniture_decor,RJ,21.77,144.0,RJ - furniture_decor
8,sports_leisure,RJ,20.22,140.0,RJ - sports_leisure
9,computers_accessories,RJ,21.26,139.0,RJ - computers_accessories
10,watches_gifts,SP,12.15,123.0,SP - watches_gifts
11,watches_gifts,RJ,15.86,121.0,RJ - watches_gifts
12,auto,SP,15.12,120.0,SP - auto
13,bed_bath_table,MG,20.95,106.0,MG - bed_bath_table
14,garden_tools,RJ,24.47,98.0,RJ - garden_tools
15,health_beauty,RJ,18.18,96.0,RJ - health_beauty
16,toys,SP,14.83,94.0,SP - toys
17,telephony,SP,10.5,90.0,SP - telephony
18,perfumery,SP,12.52,88.0,SP - perfumery
19,electronics,RJ,18.45,83.0,RJ - electronics
20,housewares,RJ,22.58,74.0,RJ - housewares
21,baby,SP,16.42,74.0,SP - baby
22,garden_tools,SP,17.47,72.0,SP - garden_tools
23,toys,RJ,17.68,68.0,RJ - toys
24,cool_stuff,SP,16.4,66.0,SP - cool_stuff
25,stationery,SP,14.27,62.0,SP - stationery
26,computers_accessories,MG,18.36,60.0,MG - computers_accessories
27,baby,RJ,23.62,60.0,RJ - baby
28,cool_stuff,RJ,22.3,60.0,RJ - cool_stuff
29,health_beauty,BA,25.39,57.0,BA - health_beauty
30,health_beauty,MG,19.39,55.0,MG - health_beauty
31,bed_bath_table,RS,20.27,53.0,RS - bed_bath_table
32,office_furniture,SP,27.41,51.0,SP - office_furniture
33,telephony,RJ,16.4,51.0,RJ - telephony
34,,SP,13.23,50.0,
35,electronics,SP,11.57,49.0,SP - electronics
36,stationery,RJ,20.36,47.0,RJ - stationery
37,auto,RJ,22.58,46.0,RJ - auto
38,telephony,BA,18.18,46.0,BA - telephony
39,furniture_decor,BA,28.86,46.0,BA - furniture_decor
40,furniture_decor,SC,22.73,45.0,SC - furniture_decor
41,furniture_decor,RS,22.88,42.0,RS - furniture_decor
42,sports_leisure,MG,21.2,41.0,MG - sports_leisure
43,computers_accessories,SC,19.44,41.0,SC - computers_accessories
44,perfumery,RJ,15.16,40.0,RJ - perfumery
45,bed_bath_table,BA,24.68,39.0,BA - bed_bath_table
46,furniture_decor,MG,21.14,38.0,MG - furniture_decor
47,housewares,MG,22.18,38.0,MG - housewares
48,bed_bath_table,ES,19.53,37.0,ES - bed_bath_table
49,sports_leisure,BA,26.07,37.0,BA - sports_leisure
50,bed_bath_table,SC,19.83,37.0,SC - bed_bath_table
51,fashion_bags_accessories,SP,11.31,36.0,SP - fashion_bags_accessories
52,office_furniture,RJ,42.04,36.0,RJ - office_furniture
53,bed_bath_table,GO,20.73,35.0,GO - bed_bath_table
54,watches_gifts,MG,17.1,34.0,MG - watches_gifts
55,construction_tools_construction,SP,16.31,34.0,SP - construction_tools_construction
56,health_beauty,RS,20.75,34.0,RS - health_beauty
57,auto,MG,22.22,33.0,MG - auto
58,sports_leisure,RS,20.32,33.0,RS - sports_leisure
59,pet_shop,SP,16.55,32.0,SP - pet_shop
60,furniture_decor,PR,22.23,31.0,PR - furniture_decor
61,health_beauty,PE,34.67,31.0,PE - health_beauty
62,housewares,RS,22.7,30.0,RS - housewares
63,baby,MG,23.31,30.0,MG - baby
64,health_beauty,SC,20.4,29.0,SC - health_beauty
65,health_beauty,CE,33.89,29.0,CE - health_beauty
66,housewares,SC,23.58,29.0,SC - housewares
67,computers_accessories,RS,19.66,28.0,RS - computers_accessories
68,telephony,MG,16.26,28.0,MG - telephony
69,toys,MG,19.73,28.0,MG - toys
70,pet_shop,RJ,19.84,28.0,RJ - pet_shop
71,watches_gifts,BA,20.74,28.0,BA - watches_gifts
72,food,SP,10.49,27.0,SP - food
73,consoles_games,SP,13.22,27.0,SP - consoles_games
74,auto,BA,28.39,26.0,BA - auto
75,bed_bath_table,DF,19.47,26.0,DF - bed_bath_table
76,health_beauty,MA,31.81,25.0,MA - health_beauty
77,health_beauty,DF,19.13,25.0,DF - health_beauty
78,garden_tools,MG,21.19,25.0,MG - garden_tools
79,health_beauty,ES,22.04,24.0,ES - health_beauty
80,electronics,MG,18.49,23.0,MG - electronics
81,,RJ,17.53,23.0,
82,health_beauty,GO,21.8,23.0,GO - health_beauty
83,sports_leisure,ES,21.98,23.0,ES - sports_leisure
84,garden_tools,BA,31.44,22.0,BA - garden_tools
85,home_appliances,SP,14.0,22.0,SP - home_appliances
86,bed_bath_table,CE,30.97,21.0,CE - bed_bath_table
87,construction_tools_construction,RJ,26.31,21.0,RJ - construction_tools_construction
88,sports_leisure,PR,18.95,21.0,PR - sports_leisure
89,home_construction,SP,15.23,21.0,SP - home_construction
90,watches_gifts,RS,17.16,21.0,RS - watches_gifts
